vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage,lng_x,lat_y,unix_time,labels
AM00428,AAA7109428,0,115.942361,28.663121000000004,1,0,0,0,0,2018-09-25 23:28:33,0,19092,12906644.587889902,3332838.3606585613,1537889313.0,0
AM00428,AAA7109428,285,115.942336,28.66313,1,0,0,0,0,2018-09-25 23:36:56,0,19092,12906641.804902632,3332839.502455425,1537889816.0,0
AM00428,AAA7109428,296,115.942298,28.663141,1,0,0,0,0,2018-09-25 23:36:58,0,19092,12906637.57476198,3332840.897985056,1537889818.0,0
AM00428,AAA7109428,280,115.942271,28.663145,1,0,0,0,0,2018-09-25 23:36:59,0,19092,12906634.569135727,3332841.405450411,1537889819.0,0
AM00428,AAA7109428,277,115.942241,28.663148,1,0,0,0,0,2018-09-25 23:37:00,0,19092,12906631.229551004,3332841.7860494438,1537889820.0,0
AM00428,AAA7109428,273,115.94221,28.663146,1,0,0,0,0,2018-09-25 23:37:01,0,19092,12906627.778646793,3332841.5323167536,1537889821.0,0
AM00428,AAA7109428,275,115.942151,28.663148,1,0,0,0,0,2018-09-25 23:37:03,0,19092,12906621.210796833,3332841.7860494438,1537889823.0,0
AM00428,AAA7109428,279,115.942135,28.66315,1,0,0,0,0,2018-09-25 23:37:04,0,19092,12906619.429684982,3332842.0397821367,1537889824.0,0
AM00428,AAA7109428,301,115.942115,28.663155,1,0,0,0,0,2018-09-25 23:37:05,0,19092,12906617.203295166,3332842.674113889,1537889825.0,0
AM00428,AAA7109428,271,115.942096,28.66315800000001,1,0,0,0,0,2018-09-25 23:37:06,0,19092,12906615.088224838,3332843.0547129577,1537889826.0,0
AM00428,AAA7109428,278,115.942048,28.66317,1,0,0,0,0,2018-09-25 23:37:08,0,19092,12906609.744889282,3332844.577109333,1537889828.0,0
AM00428,AAA7109428,263,115.942026,28.663173,1,0,0,0,0,2018-09-25 23:37:09,0,19092,12906607.295860484,3332844.9577084524,1537889829.0,0
AM00428,AAA7109428,290,115.941998,28.663176,1,0,0,0,0,2018-09-25 23:37:10,0,19092,12906604.178914744,3332845.3383075832,1537889830.0,0
AM00428,AAA7109428,271,115.941971,28.66318,1,0,0,0,0,2018-09-25 23:37:11,0,19092,12906601.17328849,3332845.845773112,1537889831.0,0
AM00428,AAA7109428,277,115.941918,28.663193,1,0,0,0,0,2018-09-25 23:37:13,0,19092,12906595.273355478,3332847.495036205,1537889833.0,0
AM00428,AAA7109428,263,115.941885,28.663195,1,0,0,0,0,2018-09-25 23:37:14,0,19092,12906591.599812284,3332847.7487690086,1537889834.0,0
AM00428,AAA7109428,285,115.941851,28.66319600000001,1,0,0,0,0,2018-09-25 23:37:15,0,19092,12906587.814949594,3332847.875635412,1537889835.0,0
AM00428,AAA7109428,270,115.941825,28.663195,1,0,0,0,0,2018-09-25 23:37:16,0,19092,12906584.920642834,3332847.7487690086,1537889836.0,0
AM00428,AAA7109428,293,115.941778,28.663195,1,0,0,0,0,2018-09-25 23:37:18,0,19092,12906579.688626768,3332847.7487690086,1537889838.0,0
AM00428,AAA7109428,280,115.941753,28.663198,1,0,0,0,0,2018-09-25 23:37:19,0,19092,12906576.905639498,3332848.1293682186,1537889839.0,0
AM00428,AAA7109428,280,115.941723,28.66320300000001,1,0,0,0,0,2018-09-25 23:37:20,0,19092,12906573.566054774,3332848.763700265,1537889840.0,0
AM00428,AAA7109428,281,115.941698,28.663208,1,0,0,0,0,2018-09-25 23:37:21,0,19092,12906570.783067506,3332849.398032339,1537889841.0,0
AM00428,AAA7109428,265,115.94163799999998,28.663185,1,0,0,0,0,2018-09-25 23:37:23,0,19092,12906564.103898056,3332846.4801050457,1537889843.0,0
AM00428,AAA7109428,275,115.94161,28.663185,1,0,0,0,0,2018-09-25 23:37:24,0,19092,12906560.986952314,3332846.4801050457,1537889844.0,0
AM00428,AAA7109428,275,115.94158,28.663185,1,0,0,0,0,2018-09-25 23:37:25,10,19092,12906557.647367593,3332846.4801050457,1537889845.0,0
AM00428,AAA7109428,273,115.941548,28.663188,1,0,0,0,0,2018-09-25 23:37:26,12,19092,12906554.085143888,3332846.8607042218,1537889846.0,0
AM00428,AAA7109428,269,115.941465,28.663186,1,0,0,0,0,2018-09-25 23:37:28,14,19092,12906544.845626153,3332846.606971436,1537889848.0,0
AM00428,AAA7109428,272,115.941418,28.663188,1,0,0,0,0,2018-09-25 23:37:29,15,19092,12906539.61361008,3332846.8607042218,1537889849.0,0
AM00428,AAA7109428,273,115.941371,28.663188,1,0,0,0,0,2018-09-25 23:37:30,15,19092,12906534.381594013,3332846.8607042218,1537889850.0,0
AM00428,AAA7109428,273,115.94132,28.663188,1,0,0,0,0,2018-09-25 23:37:31,14,19092,12906528.704299984,3332846.8607042218,1537889851.0,0
AM00428,AAA7109428,270,115.941225,28.663188,1,0,0,0,0,2018-09-25 23:37:33,15,19092,12906518.12894836,3332846.8607042218,1537889853.0,0
AM00428,AAA7109428,269,115.941183,28.663188,1,0,0,0,0,2018-09-25 23:37:34,15,19092,12906513.453529747,3332846.8607042218,1537889854.0,0
AM00428,AAA7109428,270,115.94114,28.663188,1,0,0,0,0,2018-09-25 23:37:35,15,19092,12906508.66679164,3332846.8607042218,1537889855.0,0
AM00428,AAA7109428,269,115.941096,28.663188,1,0,0,0,0,2018-09-25 23:37:36,15,19092,12906503.768734047,3332846.8607042218,1537889856.0,0
AM00428,AAA7109428,270,115.941005,28.663193,1,0,0,0,0,2018-09-25 23:37:38,15,19092,12906493.638660384,3332847.495036205,1537889858.0,0
AM00428,AAA7109428,270,115.94096,28.663191,1,0,0,0,0,2018-09-25 23:37:39,15,19092,12906488.629283298,3332847.2413034067,1537889859.0,0
AM00428,AAA7109428,274,115.940921,28.663190000000004,1,0,0,0,0,2018-09-25 23:37:40,13,19092,12906484.28782316,3332847.1144370106,1537889860.0,0
AM00428,AAA7109428,276,115.940876,28.663198,1,0,0,0,0,2018-09-25 23:37:41,14,19092,12906479.27844607,3332848.1293682186,1537889861.0,0
AM00428,AAA7109428,274,115.940793,28.663198,1,0,0,0,0,2018-09-25 23:37:43,13,19092,12906470.038928336,3332848.1293682186,1537889863.0,0
AM00428,AAA7109428,269,115.940753,28.663193,1,0,0,0,0,2018-09-25 23:37:44,12,19092,12906465.586148707,3332847.495036205,1537889864.0,0
AM00428,AAA7109428,271,115.940715,28.663188,1,0,0,0,0,2018-09-25 23:37:45,12,19092,12906461.356008055,3332846.8607042218,1537889865.0,0
AM00428,AAA7109428,275,115.940675,28.663186,1,0,0,0,0,2018-09-25 23:37:46,12,19092,12906456.903228424,3332846.606971436,1537889866.0,0
AM00428,AAA7109428,276,115.940641,28.663186,1,0,0,0,0,2018-09-25 23:37:47,11,19092,12906453.118365733,3332846.606971436,1537889867.0,0
AM00428,AAA7109428,281,115.940606,28.663188,1,0,0,0,0,2018-09-25 23:37:48,11,19092,12906449.222183555,3332846.8607042218,1537889868.0,0
AM00428,AAA7109428,289,115.940575,28.663190000000004,1,0,0,0,0,2018-09-25 23:37:49,11,19092,12906445.771279344,3332847.1144370106,1537889869.0,0
AM00428,AAA7109428,309,115.940545,28.663205,1,0,0,0,0,2018-09-25 23:37:50,12,19092,12906442.43169462,3332849.0174330887,1537889870.0,0
AM00428,AAA7109428,325,115.940521,28.663228000000004,1,0,0,0,0,2018-09-25 23:37:51,13,19092,12906439.76002684,3332851.9353609364,1537889871.0,0
AM00428,AAA7109428,342,115.940508,28.66326,1,0,0,0,0,2018-09-25 23:37:52,14,19092,12906438.312873462,3332855.995087706,1537889872.0,0
AM00428,AAA7109428,357,115.940508,28.663288,1,0,0,0,0,2018-09-25 23:37:53,12,19092,12906438.312873462,3332859.547349642,1537889873.0,0
AM00428,AAA7109428,8,115.94051,28.663323,1,0,0,0,0,2018-09-25 23:37:54,13,19092,12906438.535512442,3332863.9876784002,1537889874.0,0
AM00428,AAA7109428,2,115.940506,28.663358,1,0,0,0,0,2018-09-25 23:37:55,14,19092,12906438.09023448,3332868.4280086374,1537889875.0,0
AM00428,AAA7109428,1,115.940503,28.663395,1,0,0,0,0,2018-09-25 23:37:56,13,19092,12906437.756276008,3332873.122073648,1537889876.0,0
AM00428,AAA7109428,2,115.9405,28.663428000000003,1,0,0,0,0,2018-09-25 23:37:57,13,19092,12906437.422317535,3332877.3086735667,1537889877.0,0
AM00428,AAA7109428,1,115.940511,28.663451,1,0,0,0,0,2018-09-25 23:37:58,13,19092,12906438.646831935,3332880.226607623,1537889878.0,0
AM00428,AAA7109428,3,115.940511,28.66348300000001,1,0,0,0,0,2018-09-25 23:37:59,13,19092,12906438.646831935,3332884.286343027,1537889879.0,0
AM00428,AAA7109428,6,115.940521,28.663538,1,0,0,0,0,2018-09-25 23:38:00,16,19092,12906439.76002684,3332891.264016148,1537889880.0,0
AM00428,AAA7109428,4,115.940523,28.663578,1,0,0,0,0,2018-09-25 23:38:01,16,19092,12906439.982665822,3332896.3386898106,1537889881.0,0
AM00428,AAA7109428,3,115.940521,28.663618,1,0,0,0,0,2018-09-25 23:38:02,16,19092,12906439.76002684,3332901.413365409,1537889882.0,0
AM00428,AAA7109428,2,115.940521,28.663661,1,0,0,0,0,2018-09-25 23:38:03,16,19092,12906439.76002684,3332906.868643837,1537889883.0,0
AM00428,AAA7109428,2,115.940521,28.663703,1,0,0,0,0,2018-09-25 23:38:04,16,19092,12906439.76002684,3332912.197057486,1537889884.0,0
AM00428,AAA7109428,2,115.940523,28.663745,1,0,0,0,0,2018-09-25 23:38:05,16,19092,12906439.982665822,3332917.5254732687,1537889885.0,0
AM00428,AAA7109428,3,115.940521,28.663786,1,0,0,0,0,2018-09-25 23:38:06,16,19092,12906439.76002684,3332922.727024072,1537889886.0,0
AM00428,AAA7109428,2,115.94052,28.663823,1,0,0,0,0,2018-09-25 23:38:07,15,19092,12906439.648707347,3332927.421108247,1537889887.0,0
AM00428,AAA7109428,357,115.940516,28.663861,1,0,0,0,0,2018-09-25 23:38:08,15,19092,12906439.203429384,3332932.2420612886,1537889888.0,0
AM00428,AAA7109428,357,115.940515,28.663905,1,0,0,0,0,2018-09-25 23:38:09,17,19092,12906439.092109894,3332937.8242196264,1537889889.0,0
AM00428,AAA7109428,359,115.940513,28.663945,1,0,0,0,0,2018-09-25 23:38:10,17,19092,12906438.869470915,3332942.898911056,1537889890.0,0
AM00428,AAA7109428,3,115.940511,28.66399,1,0,0,0,0,2018-09-25 23:38:11,19,19092,12906438.646831935,3332948.6079412317,1537889891.0,0
AM00428,AAA7109428,8,115.940521,28.664041,1,0,0,0,0,2018-09-25 23:38:12,18,19092,12906439.76002684,3332955.078178393,1537889892.0,0
AM00428,AAA7109428,6,115.940528,28.664095,1,0,0,0,0,2018-09-25 23:38:13,19,19092,12906440.539263275,3332961.929021173,1537889893.0,0
